id,name,date,time,weekday,start_datetime_local,city,location,locations,time_bucket,company,primary_host,cohosts,all_hosts,host_keys,invite_only,sponsor_tier,event_url,partiful_id,source_url
238,Faith Driven Investors & Founders,2026-06-01,09:00:00,Monday,2026-06-01 09:00,New York City,Financial District,Financial District,Morning,Shane & Ife,Shane & Ife,Hubtal,Shane & Ife; Hubtal,shane-ife; hubtal,False,,https://partiful.com/e/qfMnfCfdVU5HZZuZjFaq,qfMnfCfdVU5HZZuZjFaq,https://www.tech-week.com/calendar/nyc
4379,Mercury Vinyl House,2026-06-01,09:00:00,Monday,2026-06-01 09:00,New York City,SoHo,SoHo,Morning,Mercury,Mercury,,Mercury,mercury,False,,https://partiful.com/e/OQcXidQ0QEKhEdW61f49,OQcXidQ0QEKhEdW61f49,https://www.tech-week.com/calendar/nyc
4635,Raisi: Pre-Seed and Seed Fundraising Breakfast,2026-06-01,09:00:00,Monday,2026-06-01 09:00,New York City,Midtown,Midtown,Morning,Raisi,Raisi,,Raisi,raisi,False,,https://partiful.com/e/JBmmrgrMzARVXgTMO34l,JBmmrgrMzARVXgTMO34l,https://www.tech-week.com/calendar/nyc
4904,NYTW Kickoff Networking Breakfast,2026-06-01,09:00:00,Monday,2026-06-01 09:00,New York City,Hudson Yards,Hudson Yards,Morning,XL AI,XL AI,,XL AI,xl-ai,False,,https://partiful.com/e/EbLHvoBrSl7ZV6xScsgz,EbLHvoBrSl7ZV6xScsgz,https://www.tech-week.com/calendar/nyc
4915,Build & Burn,2026-06-01,09:00:00,Monday,2026-06-01 09:00,New York City,Chelsea,Chelsea,Morning,sam.,sam.,,sam.,sam,False,,https://partiful.com/e/G6SmnsyZ3s56lOfHuRLW,G6SmnsyZ3s56lOfHuRLW,https://www.tech-week.com/calendar/nyc
5153,Female founders and funders breakfast,2026-06-01,09:00:00,Monday,2026-06-01 09:00,New York City,Midtown,Midtown,Morning,Sisters Capital,Sisters Capital,EVO VC & Startups Community,Sisters Capital; EVO VC & Startups Community,sisters-capital; evo-vc-startups-community,False,,https://partiful.com/e/NUHPiYrVsDZX1D3CYfBZ,NUHPiYrVsDZX1D3CYfBZ,https://www.tech-week.com/calendar/nyc
5508,Mercury Vinyl House,2026-06-01,09:00:00,Monday,2026-06-01 09:00,New York City,SoHo,SoHo,Morning,Mercury,Mercury,,Mercury,mercury,False,,https://partiful.com/e/OQcXidQ0QEKhEdW61f49,OQcXidQ0QEKhEdW61f49,https://www.tech-week.com/calendar/nyc
5509,Mercury Vinyl House,2026-06-01,09:00:00,Monday,2026-06-01 09:00,New York City,SoHo,SoHo,Morning,Mercury,Mercury,,Mercury,mercury,False,,https://partiful.com/e/OQcXidQ0QEKhEdW61f49,OQcXidQ0QEKhEdW61f49,https://www.tech-week.com/calendar/nyc
5647,"Tech Trends Unleashed: Explore, Engage, Excel in Queens!",2026-06-01,09:00:00,Monday,2026-06-01 09:00,New York City,Queens,Queens,Morning,Queens Chamber of Commerce,Queens Chamber of Commerce,Firstlight Cloud Xchange,Queens Chamber of Commerce; Firstlight Cloud Xchange,queens-chamber-of-commerce; firstlight-cloud-xchange,False,,https://partiful.com/e/8NDpBHnUtRgzbjpPnFz6,8NDpBHnUtRgzbjpPnFz6,https://www.tech-week.com/calendar/nyc
6467,Consumer Goods Coffee Mixer,2026-06-01,09:00:00,Monday,2026-06-01 09:00,New York City,SoHo,SoHo,Morning,Bright Cup,Bright Cup,VHS,Bright Cup; VHS,bright-cup; vhs,False,,https://partiful.com/e/vvNMFT7CRsvXm3EBXOqd,vvNMFT7CRsvXm3EBXOqd,https://www.tech-week.com/calendar/nyc
6591,GFC Central Park Coffee Walk // NY Tech Week Edition,2026-06-01,09:00:00,Monday,2026-06-01 09:00,New York City,Central Park,Central Park,Morning,German Founders Club,German Founders Club,,German Founders Club,german-founders-club,False,,https://partiful.com/e/TWRplmkXTwYNEQHHM1VF,TWRplmkXTwYNEQHHM1VF,https://www.tech-week.com/calendar/nyc
6511,"Argentina Delivers: Talent, Innovation & Global Tech - #NYTechWeek",2026-06-01,09:15:00,Monday,2026-06-01 09:15,New York City,Midtown,Midtown,Morning,Consulate General of Argentina in New York,Consulate General of Argentina in New York,,Consulate General of Argentina in New York,consulate-general-of-argentina-in-new-york,False,,https://partiful.com/e/cQQ5BDRrk32InHU7sutm,cQQ5BDRrk32InHU7sutm,https://www.tech-week.com/calendar/nyc
4140,The Infrastructure Behind the Mission,2026-06-01,09:30:00,Monday,2026-06-01 09:30,New York City,Midtown,Midtown,Morning,Watch Her Win,Watch Her Win,,Watch Her Win,watch-her-win,False,,https://partiful.com/e/Sowk0tqQHvZI3YEvybKo,Sowk0tqQHvZI3YEvybKo,https://www.tech-week.com/calendar/nyc
5413,Brews and Bagels,2026-06-01,09:30:00,Monday,2026-06-01 09:30,New York City,Midtown,Midtown,Morning,France Ovalle,France Ovalle,Scalpels & Spreadsheets,France Ovalle; Scalpels & Spreadsheets,france-ovalle; scalpels-spreadsheets,False,,https://partiful.com/e/FXwx27l3v2cgICQDCvAm,FXwx27l3v2cgICQDCvAm,https://www.tech-week.com/calendar/nyc
6575,Women Shaping the Future of AI,2026-06-01,09:30:00,Monday,2026-06-01 09:30,New York City,Flatiron,Flatiron,Morning,Fenwick,Fenwick,,Fenwick,fenwick,False,platinum,https://partiful.com/e/6tB6kOTWvCsW0CDO5Cam,6tB6kOTWvCsW0CDO5Cam,https://www.tech-week.com/calendar/nyc
