diff_type,partiful_id,old_id,current_id,old_name,current_name,old_date,current_date,old_time,current_time,old_location,current_location,old_company,current_company,event_url,source_url,current_weekday,current_time_bucket,current_hosts
changed:event_url,1FFSWMPK1VyrAatMRp0s,5068,5068,Billion Oyster Project Field Trip,Billion Oyster Project Field Trip,2026-06-05,2026-06-05,17:00:00,17:00:00,Financial District,Financial District,Ambrook,Ambrook,https://partiful.com/e/1FFSWMPK1VyrAatMRp0s,https://www.tech-week.com/calendar/nyc,Friday,Evening,Ambrook; Casa de Tilda
removed,1IiuVAZr79betXpNkaiS,5788,,"Art, Taste & Discovery in the Age of AI",,2026-06-04,,14:00:00,,Chelsea,,hili,,https://partiful.com/e/1IiuVAZr79betXpNkaiS,https://www.tech-week.com/calendar/nyc,Thursday,Afternoon,hili; Soal
added,1K4RUKGNdOY7K8EvJB1B,,6357,,Trust Issues - A Traitors style game for NYTW,,2026-06-01,,18:00:00,,West Village,,Axis Labs,https://partiful.com/e/1K4RUKGNdOY7K8EvJB1B,https://www.tech-week.com/calendar/nyc,Monday,Evening,Axis Labs
removed,1NT7YZjcLX6zovTH5qfs,5212,,"Build, Launch, Go Viral",,2026-06-01,,13:30:00,,SoHo,,SocialQ AI,,https://partiful.com/e/1NT7YZjcLX6zovTH5qfs,https://www.tech-week.com/calendar/nyc,Monday,Afternoon,SocialQ AI
changed:location,1bGiVgRQUifMy25hzGrm,5977,5977,The Oasis @ NY Tech Week Day 1 - Human Flourishing,The Oasis @ NY Tech Week Day 1 - Human Flourishing,2026-06-01,2026-06-01,13:00:00,13:00:00,Flatiron,SoHo,Flowstate,Flowstate,https://partiful.com/e/1bGiVgRQUifMy25hzGrm,https://www.tech-week.com/calendar/nyc,Monday,Afternoon,Flowstate; Vibe Space; Boardy; The AI Collective; Leave Normal Behind
changed:event_url,1fVvsQZUFf7Dohot0Ed9,5866,5866,No Wine Left Behind: Blind Tasting Meets Consumer Data,No Wine Left Behind: Blind Tasting Meets Consumer Data,2026-06-03,2026-06-03,18:00:00,18:00:00,West Village,West Village,No Wine Left Behind,No Wine Left Behind,https://partiful.com/e/1fVvsQZUFf7Dohot0Ed9,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,No Wine Left Behind; Le Dû’s Wines
changed:name,1sHHUqIMNMhDFDYNQclx,4801,4801,Build Your AI Operating System - Live Workshop for CXOs & GTM Leaders,Build Your AI Operating System - Live Workshop for Leaders,2026-06-02,2026-06-02,13:00:00,13:00:00,Tribeca,Tribeca,MasteringAI,MasteringAI,https://partiful.com/e/1sHHUqIMNMhDFDYNQclx,https://www.tech-week.com/calendar/nyc,Tuesday,Afternoon,MasteringAI
changed:event_url,1tdv13r8Ven8DkmlqSvF,5371,5371,GenAi: Acquire Properties Swiftly,GenAi: Acquire Properties Swiftly,2026-06-04,2026-06-04,14:30:00,14:30:00,Central Park,Central Park,"Project Reds, Inc.","Project Reds, Inc.",https://partiful.com/e/1tdv13r8Ven8DkmlqSvF,https://www.tech-week.com/calendar/nyc,Thursday,Afternoon,"Project Reds, Inc."
changed:event_url,23VS8cRnOrDwuiUxCajT,4414,4414,"Data, UX & Drinks","Data, UX & Drinks",2026-06-02,2026-06-02,18:00:00,18:00:00,Union Square,Union Square,Stellans.io,Stellans.io,https://partiful.com/e/23VS8cRnOrDwuiUxCajT,https://www.tech-week.com/calendar/nyc,Tuesday,Evening,STELLANS.io
changed:name|time,2DMDnnMCfblj3XRPNAuO,4170,4170,Food Technology Innovation: Shaping The Future Of Community Health,Dinner & Insights: FoodTech Innovation Shaping healthier communities,2026-06-04,2026-06-04,16:00:00,18:00:00,Midtown,Midtown,FoodNiche Inc,FoodNiche Inc,https://partiful.com/e/2DMDnnMCfblj3XRPNAuO,https://www.tech-week.com/calendar/nyc,Thursday,Evening,FoodNiche Inc
changed:event_url,2J98m1NN4k4mRVUqeI6k,6229,6229,NYC GTM AI Masterclass #5,NYC GTM AI Masterclass #5,2026-06-03,2026-06-03,17:30:00,17:30:00,Midtown,Midtown,NYC GTM: New York City's Go-To-Market Community,NYC GTM: New York City's Go-To-Market Community,https://partiful.com/e/2J98m1NN4k4mRVUqeI6k,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,NYC GTM: New York City's Go-To-Market Community; Impact 11; Swan
changed:event_url,2NP0rZW8BmdGAGUOEhGP,4719,4719,Agent Harnesses: What It Takes to Make AI Agents Work in the Enterprise,Agent Harnesses: What It Takes to Make AI Agents Work in the Enterprise,2026-06-03,2026-06-03,16:00:00,16:00:00,Union Square,Union Square,STELLANS.io,STELLANS.io,https://partiful.com/e/2NP0rZW8BmdGAGUOEhGP,https://www.tech-week.com/calendar/nyc,Wednesday,Afternoon,STELLANS.io
changed:event_url,2OGv1gYwmcdUATOlqkvY,4846,4846,The 30 Min. Pitch Workshop for Figuring Out Your Hook,The 30 Min. Pitch Workshop for Figuring Out Your Hook,2026-06-01,2026-06-01,12:00:00,12:00:00,Virtual (NYC),Virtual (NYC),Pitch Genius,Pitch Genius,https://partiful.com/e/2OGv1gYwmcdUATOlqkvY,https://www.tech-week.com/calendar/nyc,Monday,Noon,Pitch Genius
changed:name,2UzoY58jttvpNlysyUbc,4406,4406,The Great AI Divide,"The Great AI Divide: U.S., China vs the rest",2026-06-02,2026-06-02,15:00:00,15:00:00,Chelsea,Chelsea,Rest of World,Rest of World,https://partiful.com/e/2UzoY58jttvpNlysyUbc,https://www.tech-week.com/calendar/nyc,Tuesday,Afternoon,Rest of World; Access Now; AI Now Institute
changed:name|time|event_url,2cw8oY83GlBtW74X1B3x,5847,6581,Can Your Brand Thrive in Agentic Commerce?,AI Pitch Night on Comedy Stage - An “Anti-Shark Tank”,2026-06-03,2026-06-03,18:00:00,17:00:00,Midtown,Midtown,UpScaleX,UpScaleX,https://partiful.com/e/2cw8oY83GlBtW74X1B3x,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,UpScaleX; Startup Intros; Ugly Talk
changed:time,2nxAO6q4kirC15aKFzuF,4586,4586,VC Connect,VC Connect,2026-06-04,2026-06-04,19:00:00,16:00:00,Central Park,Central Park,Lazo Fintech Inc,Lazo Fintech Inc,https://partiful.com/e/2nxAO6q4kirC15aKFzuF,https://www.tech-week.com/calendar/nyc,Thursday,Afternoon,Lazo Fintech Inc
